Title,Test Interactions,Food Interactions
Clindamycin and Tretinoin (Pediatric and Neonatal Lexi-Drugs),,
Isosorbide Mononitrate (Lexi-Drugs),,
Gallium Ga 68 Dotatate (Pediatric and Neonatal Lexi-Drugs),,
Trandolapril and Verapamil (Lexi-Drugs),,
Antivenin (Micrurus fulvius) (Lexi-Drugs),,
Iodine I-125 Iothalamate (Lexi-Drugs),,
DAUNOrubicin (Conventional) (Lexi-Drugs),,
Cisatracurium (Lexi-Drugs),,
VinCRIStine (Pediatric and Neonatal Lexi-Drugs),,
Benztropine (Pediatric and Neonatal Lexi-Drugs),,
Albumin (Lexi-Drugs),,
EPHEDrine (Systemic) (Lexi-Drugs),"Can cause a false-positive amphetamine EMIT assay

",
Mesna (Lexi-Drugs),"Urinary ketones: False-positive tests for urinary ketones may occur in patients receiving mesna with the use of nitroprusside-based urine tests, including dipstick tests.

CPK activity: Mesna may interfere with enzymatic creatine kinase (CPK) activity tests which use a thiol compound (eg, N-acetylcysteine) for CPK reactivation; may result in a falsely low CPK level.

Ascorbic acid: Mesna may result in false-positive reactions in Tillman’s reagent-based urine screening tests for ascorbic acid.

",
Amoxicillin and Clavulanate (Lexi-Drugs),"May interfere with urinary glucose tests using cupric sulfate (Benedict's solution, Clinitest, Fehling's solution). Glucose tests based on enzymatic glucose oxidase reactions (eg, Clinistix) are recommended.

Ampicillin may transiently interfere with plasma concentrations of total conjugated estriol, estriol-glucuronide, conjugated estrone and estradiol in pregnant women.

",
ClonazePAM (Lexi-Drugs),,
Lincomycin (Lexi-Drugs),,
Insulin Glulisine (Pediatric and Neonatal Lexi-Drugs),,
"Plasminogen Activity, Plasma (Lab Tests and Diagnostic Procedures)",,
Insulin Glargine (Lexi-Drugs),,
Sipuleucel-T (Lexi-Drugs),,
QuiNIDine (Lexi-Drugs),,"Changes in dietary salt intake may alter the rate and extent of quinidine absorption. Quinidine serum levels may be increased if taken with food. Food has a variable effect on absorption of sustained release formulation. The rate of absorption of quinidine may be decreased following the ingestion of grapefruit juice. Excessive intake of fruit juice or vitamin C may decrease urine pH and result in increased clearance of quinidine with decreased serum concentration. Alkaline foods may result in increased quinidine serum concentrations. Management: Avoid changes in dietary salt intake. Grapefruit juice should be avoided. Take around-the-clock to avoid variation in serum levels and with food or milk to avoid GI irritation.

"
Ocrelizumab (Lexi-Drugs),"Ocrelizumab interferes with the CD20 assay for B-cell counts; use the CD19+ assay to measure B-cell counts.

",
Methylergonovine (Lexi-Drugs),,
Procainamide (Lexi-Drugs),"In the presence of propranolol or suprapharmacologic concentrations of lidocaine or meprobamate, tests which depend on fluorescence to measure procainamide/N-acetyl procainamide concentrations may be affected.

",
Ado-Trastuzumab Emtansine (Lexi-Drugs),,
Naproxen and Diphenhydramine (Lexi-Drugs),,"See individual agents.

"
Iron Dextran Complex (Lexi-Drugs),"May cause falsely elevated values of serum bilirubin and falsely decreased values of serum calcium. Residual iron dextran may remain in reticuloendothelial cells; may affect accuracy of examination of bone marrow iron stores. Bone scans with 99m Tc-labeled bone seeking agents may show reduced bony uptake, marked renal activity, and excess blood pooling and soft tissue accumulation following IV iron dextran infusion or with high serum ferritin levels. Following IM iron dextran, bone scans with 99m Tc-diphosphonate may show dense activity in the buttocks.

",
Aztreonam (Systemic) (Pediatric and Neonatal Lexi-Drugs),"May interfere with urine glucose tests containing cupric sulfate (Benedict's solution, Clinitest); positive Coombs' test

",
Iohexol (Lexi-Drugs),"Iodine-binding capacity of thyroid tissue may be reduced for up to 2 weeks following administration of contrast media; diagnostic tests using iodine-containing isotopes may be affected. Thyroid function tests that are independent of iodine estimation for results are not affected (eg, T3 resin uptake, thyroxine assays).

",
Tecovirimat (Lexi-Drugs),,"

Food (~600 kcal, ~25 g fat) increased mean AUC 39%. Management: Administer within 30 minutes after a full moderate or high fat meal.

"
Bivalirudin (Lexi-Drugs),"PT/INR levels may become elevated in the absence of warfarin. If warfarin is initiated, initial PT/INR goals while on bivalirudin may require modification.

",
DACTINomycin (Lexi-Drugs),,
Vecuronium (Lexi-Drugs),,
Fosaprepitant (Pediatric and Neonatal Lexi-Drugs),,"Aprepitant serum concentration may be increased when taken with grapefruit juice. Management: Avoid concurrent use.

"
Minocycline (Systemic) (Lexi-Drugs),"May cause interference with fluorescence test for urinary catecholamines (false elevations)

","Minocycline serum concentrations are not significantly altered if taken with food or dairy products. Management: Administer without regard to food.

"
Oritavancin (Lexi-Drugs),"Artificially prolongs coagulation tests (binds to and prevents action of phospholipid reagents), including activated clotting time (ACT; ≤24 hours), aPTT (≤120 hours), prothrombin time (≤12 hours) and international normalized ratio (≤12 hours), silica clot time (SCT; ≤18 hours), dilute Russell's viper venom time (DRVVT; ≤72 hours), and D-dimer (≤72 hours). For patients requiring aPTT monitoring within 120 hours of a dose, consider a nonphospholipid-dependent coagulation test (eg, Factor Xa [chromogenic] assay) or an alternative anticoagulant not requiring aPTT monitoring. Positive indirect and direct antiglobulin tests have occurred in patients receiving oritavancin; positive indirect antiglobulin tests may interfere with cross-matching prior to blood transfusions.

",
Artesunate (Lexi-Drugs),,
Ibuprofen and Acetaminophen (Lexi-Drugs),"Acetaminophen may cause false-positive urinary 5-hydroxyindoleacetic acid. Ibuprofen may interfere with urine detection of phencyclidine (false-positives) (Marchei 2007), and may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016).

",
Diamorphine (Lexi-Drugs),,
Moxetumomab Pasudotox (Lexi-Drugs),"Moxetumomab pasudotox may interfere with detection of cellular CD22; CD19+ B cells may be used as a surrogate assay.

",
Telavancin (Lexi-Drugs),"Interferes with the following coagulation assessments when using samples drawn 18 hours or less after telavancin administration (causes artificially increased clotting times): PT, INR, aPTT, ACT, Xa (coagulation based assay). Collect blood samples for these coagulation tests as close as possible prior to administration of the next dose of telavancin, use a non-phospholipid dependent coagulation test (eg, bleeding time, factor Xa [chromogenic assay], platelet aggregation study, thrombin time), or select an alternative anticoagulant not requiring aPTT monitoring; concomitant use of telavancin and IV unfractionated heparin is contraindicated.

Interferes with urine protein via qualitative dipstick and quantitative dye methods.

",
Zinc Sulfate (Lexi-Drugs),,"Avoid foods high in calcium or phosphorus.

"
Vasopressin (Pediatric and Neonatal Lexi-Drugs),,
Streptomycin (Lexi-Drugs),,
DexAMETHasone (Systemic) [SUPPORTIVE] (Lexi-Tox),,
Methocarbamol (Lexi-Drugs),"May cause color interference in certain screening tests for 5-HIAA using nitrosonaphthol reagent and in screening tests for urinary VMA using the Gitlow method.

",
Calaspargase Pegol (Lexi-Drugs),,
Hemin (Lexi-Drugs),,
Enoxaparin (Lexi-Drugs),"May cause falsely elevated free thyrotropin and free triiodothyronine levels when assays involving prolonged incubation periods are used. Thyroid-stimulating hormone and standard competitive free thyroid hormone assays are not usually affected (Burch 2019).

",
Nivolumab and Relatlimab (Lexi-Drugs),,
Fluorouracil-Leucovorin-Oxaliplatin  (Gastric/Esophageal)  (Lexi-Drugs),,
Fosaprepitant (Lexi-Drugs),,"Aprepitant serum concentration may be increased when taken with grapefruit juice. Management: Avoid concurrent use.

"
LevoFLOXacin (Oral Inhalation) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. Confirmation of positive opioid screens by more specific methods should be considered.

",
Ziv-Aflibercept (Systemic) (Lexi-Drugs),,
Insulin NPH (Lexi-Tox),,
Zoledronic Acid (Lexi-Drugs),"Bisphosphonates may interfere with diagnostic imaging agents such as technetium-99m-diphosphonate in bone scans.

",
Potassium Phosphate (Lexi-Drugs),,"

Avoid administering with oxalate (berries, nuts, chocolate, beans, celery, tomato) or phytate-containing foods (bran, whole wheat).

"
Benztropine (Lexi-Drugs),,
"Abacavir, Lamivudine, and Zidovudine (Lexi-Drugs)",,
Natalizumab (Lexi-Drugs),,
Regadenoson (Lexi-Drugs),,
Antithymocyte Globulin (Equine) (Lexi-Drugs),,
CeFAZolin (Lexi-Drugs),"Positive direct and indirect Coombs', false-positive urinary glucose test using glucose tests based on Benedict's copper reduction reaction, false- positive serum or urine creatinine with Jaffé reaction.



Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.



",
Esomeprazole (Lexi-Drugs),"Esomeprazole may falsely elevate serum chromogranin A (CgA) levels. The increased CgA level may cause false-positive results in the diagnosis of a neuroendocrine tumor. Temporarily stop esomeprazole ≥14 days prior to assessing CgA level; repeat level if initially elevated; use the same laboratory for all testing of CgA levels.

","Prolonged treatment (≥2 years) may lead to malabsorption of dietary vitamin B12 and subsequent vitamin B12 deficiency (Lam, 2013).

"
Sodium Thiosulfate (Lexi-Drugs),,
Cetuximab (Lexi-Drugs),,
Pyridoxine (Lexi-Drugs),,
Lutetium Lu 177 Dotatate (Lexi-Drugs),,
DexAMETHasone (Ophthalmic) (Lexi-Drugs),,
Clarithromycin (Lexi-Drugs),,"Immediate release: Food delays rate, but not extent of absorption; Extended release: Food increases clarithromycin AUC by ~30% relative to fasting conditions. Management: Administer immediate release products without regard to meals. Administer extended release products with food.

"
Glutathione (Natural Products Database),,
Amoxicillin (Lexi-Drugs),"May interfere with urinary glucose tests (Benedict's solution, Clinitest, Fehling's Solution).

Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
"Chlorpheniramine, Phenylephrine, and Dextromethorphan (Lexi-Drugs)","See individual agents.

",
Casirivimab and Imdevimab (Lexi-Drugs),,
Atracurium (Lexi-Drugs),,
Ibandronate (Lexi-Drugs),"Bisphosphonates may interfere with diagnostic imaging agents such as technetium-99m-diphosphonate in bone scans.

","Food may reduce absorption; mean oral bioavailability is decreased up to 90% when given with food. Management: Take with a full glass (6-8 oz) of plain water, at least 60 minutes prior to any food, beverages, or medications. Mineral water with a high calcium content should be avoided. Wait at least 60 minutes after taking ibandronate before taking anything else.

"
Acetaminophen and Caffeine (Lexi-Drugs),"See individual agents.

",
Bendamustine-Rituximab (CLL) (Lexi-Drugs),,
Gadopentetate Dimeglumine (Pediatric and Neonatal Lexi-Drugs),,
Sodium Iodide I123 (Lexi-Drugs),,
Local Anesthetics (Lexi-Tox),,
Phenytoin (Lexi-Drugs),"Falsely high plasma phenytoin concentrations may occur when measured by immunoanalytical techniques (eg, TDX, TDXFLX, Emit 2000). Phenytoin may produce falsely low results for serum concentrations of T4 and T3, and dexamethasone or metyrapone tests. Phenytoin may cause increased serum levels of thyroid-stimulating hormone (TSH; usually in the absence of clinical hypothyroidism).

","Enteral nutrition: Administration of phenytoin with enteral nutrition and/or related nutritional supplements may decrease phenytoin absorption. Management: The manufacturer recommends not to administer concomitantly with enteral feeding preparations. Multiple strategies have been proposed to avoid concomitant administration. If possible, hold feedings for 1 to 2 hours prior to and 1 to 2 hours after phenytoin administration; divide total daily dose into 2 doses to minimize enteral nutrition interruption. Alternatively, the phenytoin dose may be increased to overcome the interaction. Regardless of the strategy used, flush feeding tubes before and after phenytoin administration, maintain consistent administration practices throughout therapy, monitor clinical response, and consider obtaining additional serum concentration levels as clinically appropriate (Gilbert 1996; Williams 2008; Wohlt 2009).

Ethanol:

Acute use: Ethanol inhibits metabolism of phenytoin and may also increase CNS depression. Management: Monitor patients. Caution patients about effects.

Chronic use: Ethanol stimulates metabolism of phenytoin. Management: Monitor patients.

"
Antihemophilic Factor (Recombinant) (Lexi-Drugs),,
Iodinated I 131 Albumin (Lexi-Drugs),,
Temozolomide (Lexi-Drugs),,"Food reduces rate and extent of absorption. Management: Administer consistently either with food or without food (was administered in studies under fasting and nonfasting conditions).

"
QuiNINE (Lexi-Drugs),"May interfere with urine detection of opioids (false-positive); positive Coombs' [direct]; false elevation of urinary steroids (when assayed by Zimmerman method) and catecholamines; qualitative and quantitative urine dipstick protein assays

",
Fluorouracil-Leucovorin Bolus (Colorectal) (Lexi-Drugs),,
Interferon Alfa-2b (Lexi-Drugs),,
Factor IX (Recombinant) (Lexi-Drugs),,
Asparaginase (Erwinia) (Lexi-Drugs),,
Fam-Trastuzumab Deruxtecan (Lexi-Drugs),,
Ziconotide (Lexi-Drugs),,
Fluconazole (Lexi-Drugs),,
Isoproterenol (Lexi-Drugs),,
Bacitracin and Polymyxin B (Topical) (Lexi-Drugs),,
Trastuzumab (Lexi-Drugs),,
Oliceridine (Lexi-Drugs),,
Lacosamide (Lexi-Drugs),,
DiphenhydrAMINE (Systemic) (Lexi-Drugs),"May interfere with urine detection of methadone and phencyclidine (false-positives); may cause false-positive serum TCA screen; may suppress the wheal and flare reactions to skin test antigens

",
Tocilizumab (Lexi-Drugs),,
Elotuzumab-Pomalidomide-Dexamethasone (Multiple Myeloma) (Lexi-Drugs),,
Ceftazidime and Avibactam (Lexi-Drugs),"Ceftazidime: Positive direct Coomb. False-positive reaction for urine glucose with certain methods; use glucose tests based on enzymatic glucose oxidase reactions.

",
Ferric Carboxymaltose (Lexi-Drugs),"Serum or transferrin bound iron levels may be falsely elevated if assessed within 24 hours of ferric carboxymaltose administration.

",
Glycerin and Lidocaine (Lexi-Drugs),"See individual agents.

",
PEMEtrexed (Lexi-Drugs),,
Naloxone (Lexi-Drugs),,
Aminocaproic Acid (Lexi-Drugs),,
Amphotericin B Deoxycholate (Lexi-Drugs),,
Acyclovir (Systemic) (Lexi-Drugs),,
Edetate CALCIUM Disodium (Lexi-Drugs),"If edetate CALCIUM disodium is given as a continuous IV infusion, stop the infusion for at least 1 hour before blood is drawn for lead concentration to avoid a falsely elevated value

",
Eculizumab (Lexi-Drugs),,
Teplizumab (Lexi-Drugs),,
LevOCARNitine (Lexi-Drugs),,
PRALAtrexate (Lexi-Drugs),,
Bendamustine-Bortezomib-Rituximab (NHL-Follicular) (Lexi-Drugs),,
Delafloxacin (Lexi-Drugs),,
Eptifibatide (Lexi-Drugs),,
Ofloxacin (Ophthalmic) (Lexi-Drugs),,
Mycophenolate (Briggs Drugs in Pregnancy and Lactation),,
Stanford V (Hodgkin) (Lexi-Drugs),,
Methoxy Polyethylene Glycol-Epoetin Beta (Lexi-Drugs),"Neutralizing antibody assay: Obtain serum samples at least a month after the last dose to prevent assay interference.

HbA1c: Erythropoiesis-stimulating agents may artificially lower HbA1c through increased circulation of immature erythrocytes in the peripheral blood stream that have less exposure to glucose (Kobayashi 2016; Rasche 2017).

",
Glycopyrrolate (Oral Inhalation) (Lexi-Drugs),,
Asparaginase (Erwinia [Recombinant]) (Lexi-Drugs),,
Heparin (Lexi-Drugs),"Increased PT is possible.

Oral factor Xa inhibitors (apixaban, edoxaban, and rivaroxaban) may interfere with anti-factor Xa assays used for monitoring heparin anticoagulation, causing falsely elevated results and leading to inappropriate heparin dose reduction. Oral factor Xa inhibitors have little or minor effect on the aPTT. Consider using aPTT for heparin monitoring for at least 72 hours if there is concern for laboratory inference with the anti-factor Xa assay due to an oral factor Xa inhibitor (Conway 2017; Faust 2016; Levito 2020).

May cause falsely elevated free T4 and free T3 levels when assays involving prolonged incubation periods are used. Thyroid stimulating hormone and standard competitive free thyroid hormone assays are not usually affected (Burch 2019).



",
AzaCITIDine (Lexi-Drugs),,
Arginine (Lexi-Drugs),,
Cisplatin-Vinblastine (NSCLC) (Lexi-Drugs),,
Aztreonam (Oral Inhalation) (Pediatric and Neonatal Lexi-Drugs),,
"Prothrombin Complex Concentrate (Human) [(Factors II, VII, IX, X), Protein C, and Protein S]","aPTT (formulation contains heparin)

",
Trilaciclib (Lexi-Drugs),,
Agalsidase Alfa (Lexi-Drugs),,
Belantamab Mafodotin (Lexi-Drugs),,
Nitroprusside (Lexi-Drugs),,
Gatifloxacin (Lexi-Drugs),,
Trastuzumab (Lexi-Drugs),,
DOCEtaxel (Lexi-Drugs),,
Pantothenic Acid (Natural Products Database),,
LEVOleucovorin (Lexi-Drugs),,
Fosnetupitant and Palonosetron (Lexi-Drugs),,
Metoprolol and Hydrochlorothiazide (Lexi-Drugs),"See individual agents.

","See individual agents.

"
Daratumumab (Lexi-Drugs),"Daratumumab binds to CD38 on RBCs and interferes with compatibility testing, including antibody screening and cross matching. Mitigation methods include treating reagent RBCs with dithiothreitol (DTT) to disrupt daratumumab binding or genotyping. As the Kell blood group system is also sensitive to DTT, supply K-negative units after ruling out or identifying alloantibodies using DTT-treated RBCs. If an emergency transfusion is required, administer non-cross-matched ABO/RhD-compatible RBCs per local blood bank practices.



Daratumumab may be detected on both serum protein electrophoresis (SPE) and immunofixation (IFE) assays used for monitoring multiple myeloma monoclonal immunoglobulins (M-proteins); false positive SPE and IFE assay results may occur for patients with IgG kappa myeloma protein, and may affect initial assessment of complete response criteria. In patients with persistent very good partial response where daratumumab interference is suspected, consider using a daratumumab-specific IFE assay to distinguish daratumumab from any residual endogenous M protein to evaluate the depth of treatment response.

",
Bivalirudin (Lexi-Drugs),"PT/INR levels may become elevated in the absence of warfarin. If warfarin is initiated, initial PT/INR goals while on bivalirudin may require modification.

",
Lidocaine and Menthol (Lexi-Drugs),,
Bleomycin (Lexi-Drugs),,
Baclofen (Lexi-Drugs),,
Milrinone (Lexi-Drugs),,
LevETIRAcetam (Lexi-Drugs),,"Food may delay, but does not affect the extent of absorption. Management: Administer without regard to meals.

"
Sodium Thiosulfate: Calciphylaxis (Facts and Comparisons Off-Label),,
Defibrotide (Lexi-Drugs),,
Metoprolol (Lexi-Drugs),,"Food increases absorption. Metoprolol serum levels may be increased if taken with food. Management: Take immediate release tartrate tablets with food; succinate can be taken with or without food.

"
Calcium Chloride (Lexi-Drugs),,
Buprenorphine (Briggs Drugs in Pregnancy and Lactation),,
Phenylephrine (Topical) (Lexi-Drugs),,
Amiodarone (Lexi-Drugs),"Although amiodarone can cause true hypothyroidism or thyrotoxicosis, changes in thyroid function test results may occur in euthyroid patients. Amiodarone inhibits conversion from T4 to T3; the active metabolite also reduces circulating T3 levels. As a result, T4 levels may be elevated, thyroid stimulating hormone levels may be at the high end of normal range, and T3 levels may be at the low end of normal range (Burch 2019).

","Food increases the rate and extent of absorption of amiodarone. Grapefruit juice increases bioavailability of oral amiodarone by 50% and decreases the conversion of amiodarone to N-DEA (active metabolite); altered effects are possible. Management: Take consistently with regard to meals; grapefruit juice should be avoided during therapy.

"
Cosyntropin (Lexi-Drugs),"Concurrent or recent use of spironolactone, hydrocortisone, cortisone, etomidate, estrogens

",
Thiotepa (Lexi-Drugs),,
CefTAZidime (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction

",
Betibeglogene Autotemcel (Lexi-Drugs),"Patients who have received betibeglogene autotemcel are likely to test positive by polymerase chain reaction (PCR) assays for HIV due to integrated BB305 LVV proviral DNA, resulting in a false-positive test for HIV; patients who have received betibeglogene autotemcel should not be screened for HIV infection using a PCR-based assay.

",
Mycophenolate (Lexi-Drugs),,"Food decreases Cmax of MPA by 40% following mycophenolate mofetil (CellCept) administration and 33% following mycophenolate sodium (Myfortic) use; the extent of absorption is not changed. Management: Take mycophenolate mofetil or mycophenolate sodium on an empty stomach to decrease variability; however, mycophenolate mofetil may be taken with food if necessary in stable renal transplant recipients.

"
Benztropine (Briggs Drugs in Pregnancy and Lactation),,
Cefuroxime (Pediatric and Neonatal Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution); false- negative may occur with ferricyanide test. Glucose oxidase or hexokinase-based methods should be used.

","Bioavailability is increased with food; cefuroxime serum levels may be increased if taken with food or dairy products. Clinical and bacteriologic responses were independent of food intake in clinical trials. Management: Administer tablet without regard to meals; suspension must be administered with food.

"
Octreotide (Lexi-Drugs),,"Octreotide may alter absorption of dietary fats; administering octreotide delayed-release capsules with food decreases AUC and Cmax by 90%. Management: Administer injections between meals to decrease GI effects; administer delayed-release capsules on an empty stomach at least 1 hour before or at least 2 hours after meals.

"
Gadoterate Meglumine (Lexi-Drugs),,
Velaglucerase Alfa (Lexi-Drugs),,
Allopurinol (Lexi-Drugs),,
Avelumab (Lexi-Drugs),,
Rasburicase (Lexi-Drugs),"Specific handling procedures must be followed to prevent the degradation of uric acid in plasma samples. Blood must be collected in prechilled tubes containing heparin anticoagulant. Samples must then be immediately immersed and maintained in an ice water bath. Prepare samples by centrifugation in a precooled centrifuge (4°C). Samples must be analyzed within 4 hours of collection.

",
Clindamycin and Benzoyl Peroxide (Lexi-Drugs),,
Insulin Lispro Protamine and Insulin Lispro (Lexi-Drugs),,
Morphine (Systemic) (Lexi-Drugs),"Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

","Ethanol: Alcoholic beverages or ethanol-containing products may disrupt extended release formulation resulting in rapid release of entire morphine dose. Management: Avoid alcohol. Do not administer Kadian with alcoholic beverages or ethanol-containing prescription or nonprescription products.

Food: Administration of oral morphine solution with food may increase bioavailability (ie, a report of 34% increase in morphine AUC when morphine oral solution followed a high-fat meal). The bioavailability of MorphaBond, MS Contin, or Kadian does not appear to be affected by food. Management: Take consistently with or without meals.

"
Doxorubicin (Briggs Drugs in Pregnancy and Lactation),,
Agalsidase Beta (Lexi-Drugs),,
Obiltoxaximab (Lexi-Drugs),,
Factor VIIa (Recombinant) (Lexi-Drugs),,
Sotalol (Lexi-Drugs),"May falsely increase urinary metanephrine values when fluorimetric or photometric methods are used; does not interact with HPLC assay with solid phase extraction for determination of urinary catecholamines; may lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016)

","Sotalol peak serum concentrations may be decreased if taken with food. Management: Administer without regard to meals.

"
Omeprazole and Sodium Bicarbonate (Lexi-Drugs),"Omeprazole may falsely elevate serum chromogranin A (CgA) levels. The increased CgA level may cause false-positive results in the diagnosis of a neuroendocrine tumor. Temporarily stop omeprazole ≥14 days prior to assessing CgA level; repeat test if CgA level is initially elevated; use the same laboratory for all testing of CgA levels.

","See individual agents.

"
Melphalan Flufenamide (Lexi-Drugs),,
Iodine I-125 Human Serum Albumin (Lexi-Drugs),,
Sodium Bicarbonate (Lexi-Drugs),,
Factor IX (Recombinant [Albumin Fusion Protein]) (Lexi-Drugs),,
"Lansoprazole, Amoxicillin, and Clarithromycin (Lexi-Drugs)","See individual agents.

",
Midazolam (Lexi-Drugs),,"Oral: Grapefruit juice may increase serum concentrations of midazolam. Management: Avoid concurrent use of grapefruit juice with oral midazolam.

"
Melphalan-Prednisone-Thalidomide (Multiple Myeloma) (Lexi-Drugs),,
CISplatin (Lexi-Drugs),,
Amphotericin B Cholesteryl Sulfate Complex (Lexi-Drugs),,
Isatuximab (Lexi-Drugs),"Interference with serological testing (indirect antiglobulin test): Isatuximab binds to CD38 on RBCs, which may result in a false-positive indirect antiglobulin test (indirect Coombs test), antibody detection (screening) tests, antibody identification panels, and antihuman globulin crossmatches in patients treated with isatuximab. Conduct blood type and screening prior to the first isatuximab infusion; consider phenotyping prior to initiating treatment. If isatuximab treatment has already been initiated, inform the blood bank that the patient is receiving isatuximab and isatuximab interference with blood compatibility testing can be resolved using dithiothreitol-treated RBCs. If an emergency transfusion is required, non–cross-matched ABO/RhD-compatible RBCs can be given per local blood bank practices.

Serum protein electrophoresis and immunofixation tests: Isatuximab is an IgG kappa monoclonal antibody that may be incidentally detected by serum protein electrophoresis and immunofixation assays used for endogenous M-protein monitoring and may interfere with the accuracy of determining complete response in some patients with IgG kappa myeloma protein.

",
"Hyoscyamine, Atropine, Scopolamine, and Phenobarbital (Lexi-Drugs)",,
CefOXitin (Lexi-Drugs),"Positive direct Coombs', false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest®, Fehling's solution), false- positive serum or urine creatinine with Jaffé reaction

",
"Hyoscyamine, Atropine, Scopolamine, and Phenobarbital (Pediatric and Neonatal Lexi-Drugs)",,
Insulin Degludec (Lexi-Drugs),,
Phenylephrine (Ophthalmic) (Lexi-Drugs),,
Quinupristin and Dalfopristin (Lexi-Drugs),,
Amikacin (Systemic) (Lexi-Drugs),"Some penicillin derivatives may accelerate the degradation of aminoglycosides in vitro, leading to a potential underestimation of aminoglycoside serum concentration.

",
Insulin Glargine and Lixisenatide (Lexi-Drugs),,
Alglucosidase Alfa (Lexi-Drugs),,
Furosemide (Lexi-Drugs),"May lead to false-negative aldosterone/renin ratio (ARR) (Funder 2016).

",
Mitoxantrone-Prednisone (Prostate) (Lexi-Drugs),,
Proparacaine and Fluorescein (Lexi-Drugs),,
Glutamine (Patient Education - Natural Products),,
Alcohol (Isopropyl) (Lexi-Drugs),,
MitoXANTRONE (Lexi-Drugs),,
Octreotide (Lexi-Drugs),,"Octreotide may alter absorption of dietary fats; administering octreotide delayed-release capsules with food decreases AUC and Cmax by 90%. Management: Administer injections between meals to decrease GI effects; administer delayed-release capsules on an empty stomach at least 1 hour before or at least 2 hours after meals.

"
Gadoversetamide (Lexi-Drugs),"May cause transient changes in serum iron, copper, or zinc. May interfere with colorimetric tests for serum calcium (apparent decrease); accurate values can be obtained approximately 90 minutes after injection.

",
Methotrexate (Lexi-Drugs),,"Methotrexate peak serum levels may be decreased if taken with food. Management: Administer without regard to food.

"
Aldesleukin (Lexi-Drugs),,
Anticholinergic Agents (Lexi-Tox),,
Epoprostenol (Lexi-Drugs),,
Tranexamic Acid [SUPPORTIVE] (Lexi-Tox),,
Ibuprofen and Phenylephrine (Lexi-Drugs),,
Insulin Degludec and Liraglutide (Lexi-Drugs),,
Deferoxamine (Lexi-Drugs),"TIBC may be falsely elevated with high serum iron concentrations or deferoxamine therapy. Imaging results may be distorted due to rapid urinary excretion of deferoxamine-bound gallium-67; discontinue deferoxamine 48 hours prior to scintigraphy.

",
Meropenem (Lexi-Drugs),"Positive Coombs' [direct]

",
Palifermin (Lexi-Drugs),,
Pegloticase (Lexi-Drugs),,
LEVOleucovorin (Lexi-Drugs),,
Amphotericin B (Lipid Complex) (Lexi-Drugs),,
Atezolizumab (Lexi-Drugs),,
MetroNIDAZOLE (Systemic) (Lexi-Drugs),"May interfere with AST, ALT, triglycerides, glucose, and LDH testing

","Peak antibiotic serum concentration lowered and delayed, but total drug absorbed not affected.

"
Inotuzumab Ozogamicin (Lexi-Drugs),,
Itraconazole (Lexi-Drugs),,"Capsule (100 mg [Sporanox]): Absorption enhanced by food and possibly by gastric acidity. Non-diet cola drinks have been shown to increase the absorption of the capsules in patients with achlorhydria or those taking H2-receptor antagonists or other gastric acid suppressors. Grapefruit/grapefruit juice may decrease or increase itraconazole serum levels. Management: Take 100 mg capsules (Sporanox) immediately after meals. Keep grapefruit/grapefruit juice consumption consistent; monitor for altered effects with concomitant use.

Capsule (65 mg [Tolsura]): Absorption increased when administered on an empty stomach; however, administration of Tolsura (2 x 65 mg capsule) with food results in exposure similar to those achieved when Sporanox (2 x 100 mg capsule) is administered with food.

Management: Take 65 mg capsules (Tolsura) with food.

Oral solution: Food decreases the bioavailability and increases the time to peak concentration. Management: Take solution on an empty stomach 1 hour before or 2 hours after meals.

"
Sodium Chloride and Sodium Citrate (Lexi-Drugs),,
HYDROmorphone (Lexi-Drugs),"

Some quinolones may produce a false-positive urine screening result for opioids using commercially-available immunoassay kits. This has been demonstrated most consistently for levofloxacin and ofloxacin, but other quinolones have shown cross-reactivity in certain assay kits. Confirmation of positive opioid screens by more specific methods should be considered.

",
Brexucabtagene Autoleucel (Lexi-Drugs),,
DAPTOmycin (Lexi-Drugs),"Daptomycin may cause false prolongation of the PT and increase of INR with certain recombinant thromboplastin reagents. This appears to be a dose-dependent phenomenon. If PT/INR is elevated, repeat PT/INR immediately prior to next daptomycin dose (eg, trough). If PT/INR remains elevated, repeat PT/INR using alternate reagents (if available) and evaluate for other causes of elevated PT/INR.

",
